client_id,total_loan_amount,average_loan_amount
1050,481307.83,481307.83
1053,197431.67,197431.67
1096,418998.84,418998.84
1108,3530.81,3530.81
1114,462127.28,462127.28
1115,344706.64,344706.64
1128,331229.3,331229.3
1146,294639.75,294639.75
1161,215812.68,215812.68
1166,453755.88,453755.88
1189,90593.79,90593.79
1190,318887.62,318887.62
1218,126784.19,126784.19
1237,189724.42,189724.42
1249,194537.45,194537.45
1282,3562.42,3562.42
1292,393475.55,393475.55
1303,247784.54,247784.54
1340,230822.55,230822.55
1349,349816.54,349816.54
1450,174775.96,174775.96
1462,293175.25,293175.25
1472,269524.11,269524.11
1490,337302.22,337302.22
1557,454746.93,454746.93
1582,254045.48,254045.48
1668,434832.18,434832.18
1674,71030.83,71030.83
1703,269914.92,269914.92
1705,140992.11,140992.11
1712,119988.68,119988.68
1715,359000.52,359000.52
1743,70720.27,70720.27
1744,137257.95,137257.95
1761,419143.42,419143.42
1786,93694.85,93694.85
1789,334994.35,334994.35
1800,457014.85,457014.85
1826,297100.87,297100.87
1836,213682.03,213682.03
1837,469700.82,469700.82
1858,395923.11,395923.11
1871,121316.41,121316.41
1896,234556.67,234556.67
1924,215953.76,215953.76
1932,457939.07,457939.07
1965,230243.55,230243.55
2009,56063.23,56063.23
2047,67824.45,67824.45
2111,373849.5,373849.5
2129,312003.3,312003.3
2176,29180.24,29180.24
2177,288513.32,288513.32
2203,100889.48,100889.48
2214,474088.65,474088.65
2223,524531.05,262265.525
2231,75428.91,75428.91
2262,114783.59,114783.59
2295,417749.9,417749.9
2368,102043.25,102043.25
2396,267670.09,267670.09
2406,432934.64,432934.64
2437,63016.59,63016.59
2447,350642.83,350642.83
2475,338077.15,338077.15
2519,247115.66,247115.66
2524,75373.08,75373.08
2563,404044.64,404044.64
2607,218136.13,218136.13
2616,199712.08,199712.08
2627,367578.06,367578.06
2636,363086.52,363086.52
2659,253136.25,253136.25
2667,174103.75,174103.75
2670,498296.36,498296.36
2678,46338.57,46338.57
2683,490635.91,490635.91
2714,364142.6,364142.6
2719,479761.45,479761.45
2757,497801.14,497801.14
2790,322125.66,322125.66
2794,8486.24,8486.24
2807,292430.61,292430.61
2809,165757.44,165757.44
2822,18020.1,18020.1
2836,264473.89,264473.89
2839,412089.43,412089.43
2865,211642.53,211642.53
2906,201512.35,201512.35
2909,129550.88,129550.88
2912,259252.47,259252.47
2948,221433.33,221433.33
2963,156201.16,156201.16
2967,140652.96,140652.96
2973,350548.75,350548.75
2992,294270.5,294270.5
2999,360928.97,360928.97
3002,467139.8,467139.8
3027,335884.81,335884.81
3093,37328.19,37328.19
3117,202605.99,202605.99
3123,24067.26,24067.26
3135,123458.51,123458.51
3136,183168.44,183168.44
3153,53943.3,53943.3
3176,127338.08,127338.08
3180,487874.95,487874.95
3254,391896.38,391896.38
3281,453062.89,453062.89
3290,283781.59,283781.59
3309,18868.79,18868.79
3312,50800.27,50800.27
3338,207354.27,207354.27
3369,317849.06,317849.06
3400,432518.18,432518.18
3414,8843.05,8843.05
3417,111869.53,111869.53
3427,451861.11,451861.11
3446,162191.96,162191.96
3488,61753.45,61753.45
3503,256779.21,256779.21
3506,360409.87,360409.87
3527,264743.61,264743.61
3533,62439.17,62439.17
3544,79847.15,79847.15
3559,88554.67,88554.67
3573,72769.59,72769.59
3611,288728.49,288728.49
3614,35583.87,35583.87
3626,497178.0,497178.0
3634,356332.43,356332.43
3657,295645.29,295645.29
3666,166713.7,166713.7
3678,217108.42,217108.42
3687,236053.3,236053.3
3689,19228.49,19228.49
3691,435385.37,435385.37
3705,87184.77,87184.77
3752,178794.81,178794.81
3773,36789.34,36789.34
3817,117340.45,117340.45
3828,207665.28,207665.28
3829,361051.2,361051.2
3835,35879.09,35879.09
3877,333746.85,333746.85
3897,27053.07,27053.07
3902,342706.29,342706.29
3929,46766.12,46766.12
3948,22843.79,22843.79
3952,397404.71,397404.71
3968,79571.57,79571.57
3987,38605.83,38605.83
4002,144723.01,144723.01
4003,378730.82,378730.82
4010,27182.76,27182.76
4012,215230.08,215230.08
4032,307361.05,307361.05
4048,421498.43,421498.43
4101,405806.11,405806.11
4126,54616.82,54616.82
4163,190438.58,190438.58
4273,159227.79,159227.79
4294,377966.96,377966.96
4319,184717.53,184717.53
4342,281083.69,281083.69
4347,76340.85,76340.85
4361,304689.08,304689.08
4380,292008.61,292008.61
4420,484148.69,484148.69
4425,268095.75,268095.75
4477,351282.44,351282.44
4502,147137.66,147137.66
4505,400519.68,400519.68
4539,365633.41,365633.41
4572,63710.9,63710.9
4576,145907.98,145907.98
4587,210707.63,210707.63
4589,384854.97,384854.97
4634,216736.13,216736.13
4658,262260.91,262260.91
4673,284853.85,284853.85
4675,272629.8,272629.8
4715,349756.7,349756.7
4732,487374.19,487374.19
4733,415437.02,415437.02
4736,340435.53,340435.53
4756,80310.16,80310.16
4765,57028.77,57028.77
4776,455944.63,455944.63
4809,256849.11,256849.11
4877,379460.85,379460.85
4882,377623.29,377623.29
4900,162189.15,162189.15
4926,11667.78,11667.78
4934,46311.47,46311.47
4960,483827.4,483827.4
4971,407433.14,407433.14
4994,27011.85,27011.85
5001,118624.88,118624.88
5047,27408.34,27408.34
5062,382230.36,382230.36
5065,366832.02,366832.02
5138,303319.46,303319.46
5146,265179.96,265179.96
5185,471340.78,471340.78
5188,288105.63,288105.63
5212,51389.04,51389.04
5222,328704.82,328704.82
5248,169319.76,169319.76
5256,60731.9,60731.9
5257,28256.42,28256.42
5262,313036.02,313036.02
5272,487866.61,487866.61
5276,198144.79,198144.79
5299,323313.59,323313.59
5316,367677.82,367677.82
5322,466940.3,466940.3
5332,836257.9199999999,418128.95999999996
5348,380948.69,380948.69
5360,3146.44,3146.44
5369,297219.31,297219.31
5405,312583.34,312583.34
5433,488698.51,488698.51
5434,289463.98,289463.98
5461,358270.89,358270.89
5470,175435.66,175435.66
5489,65174.05,65174.05
5498,130110.53,130110.53
5512,126121.76,126121.76
5538,273376.53,273376.53
5551,76826.4,76826.4
5562,476746.61,476746.61
5572,37987.69,37987.69
5573,414151.22,414151.22
5607,104040.68,104040.68
5660,89353.24,89353.24
5671,205425.65,205425.65
5674,51164.98,51164.98
5683,395060.18,395060.18
5691,368754.62,368754.62
5704,273576.48,273576.48
5723,270459.75,270459.75
5731,13942.98,13942.98
5733,321332.17,321332.17
5745,140990.03,140990.03
5772,282680.04,282680.04
5786,31782.09,31782.09
5798,300254.69,300254.69
5810,13336.8,13336.8
5816,51420.47,51420.47
5828,47257.07,47257.07
5849,80615.55,80615.55
5884,244031.54,244031.54
5886,387202.29,387202.29
5890,153638.16,153638.16
5946,410221.71,410221.71
5958,114446.61,114446.61
5963,71413.86,71413.86
5967,451448.5,225724.25
5970,174093.43,174093.43
5973,70539.57,70539.57
5989,243702.19,243702.19
6004,164007.49,164007.49
6075,93344.88,93344.88
6166,312074.15,312074.15
6169,375951.33,375951.33
6171,466733.01,466733.01
6194,107341.44,107341.44
6199,200421.68,200421.68
6250,198313.15,198313.15
6324,460696.61,460696.61
6347,404825.44,404825.44
6357,441063.87,441063.87
6374,367823.48,367823.48
6391,412893.68,412893.68
6413,263049.62,263049.62
6421,465069.18,465069.18
6423,307907.07,307907.07
6434,14890.4,14890.4
6441,168441.54,168441.54
6495,116568.02,116568.02
6531,189082.32,189082.32
6540,384067.98,384067.98
6548,588416.29,294208.145
6555,118441.86,118441.86
6557,120991.21,120991.21
6679,177205.94,177205.94
6687,289871.52,289871.52
6691,338638.67,338638.67
6711,371959.94,371959.94
6731,97330.64,97330.64
6739,174049.88,174049.88
6745,336985.3,336985.3
6763,212232.79,212232.79
6778,4103.95,4103.95
6799,7489.96,7489.96
6885,170730.48,170730.48
6905,26936.85,26936.85
6936,176884.84,176884.84
6980,461027.4,461027.4
6994,248381.56,248381.56
7014,237627.57,237627.57
7019,393545.64,393545.64
7054,362240.18,362240.18
7091,207808.44,207808.44
7103,335994.98,335994.98
7135,419638.01,419638.01
7148,406318.83,406318.83
7207,304353.66,304353.66
7218,90861.1,90861.1
7245,49762.22,49762.22
7250,413930.94,413930.94
7255,14565.29,14565.29
7263,337442.75,337442.75
7270,30377.27,30377.27
7285,355398.63,355398.63
7337,402759.67,402759.67
7369,201332.05,201332.05
7372,320612.8,320612.8
7381,448449.28,448449.28
7388,7221.57,7221.57
7402,362343.08,362343.08
7406,284092.52,284092.52
7409,472584.25,472584.25
7428,262925.72,262925.72
7472,443022.05,443022.05
7484,437421.64,437421.64
7550,476270.24,476270.24
7553,431208.4,431208.4
7562,473999.28,473999.28
7576,325499.89,325499.89
7652,254298.07,254298.07
7663,78751.61,78751.61
7669,268225.88,268225.88
7705,206258.26,206258.26
7722,129795.1,129795.1
7723,351298.19,351298.19
7733,333534.14,333534.14
7788,281750.3,281750.3
7833,236024.56,118012.28
7849,102200.88,102200.88
7865,280948.89,280948.89
7878,231344.89,231344.89
7883,84166.27,84166.27
7895,253801.44,253801.44
7932,173767.79,173767.79
7937,187626.36,187626.36
7966,70134.29,70134.29
7983,421791.68,421791.68
7996,148650.31,148650.31
8009,373650.24,373650.24
8020,403929.86,403929.86
8039,205553.91,205553.91
8050,60449.34,60449.34
8075,47571.58,47571.58
8166,182647.12,182647.12
8170,230512.84,230512.84
8180,203866.71,203866.71
8204,204564.36,204564.36
8207,499113.04,499113.04
8208,155184.22,155184.22
8227,456577.56,456577.56
8244,345008.61,345008.61
8258,494102.29,494102.29
8274,344433.22,344433.22
8278,20707.69,20707.69
8295,439481.14,439481.14
8299,150872.24,150872.24
8300,180613.76,180613.76
8311,293469.64,293469.64
8313,447225.77,447225.77
8330,90952.61,90952.61
8355,49590.0,49590.0
8385,375856.36,375856.36
8389,391953.87,391953.87
8390,345002.06,345002.06
8391,30522.37,30522.37
8400,171839.05,171839.05
8405,139139.29,139139.29
8454,337939.57,337939.57
8466,33759.51,33759.51
8485,84213.08,84213.08
8551,296500.37,296500.37
8555,364301.98,364301.98
8605,388313.66000000003,194156.83000000002
8609,185178.93,185178.93
8618,432812.57,432812.57
8652,69482.88,69482.88
8656,22874.44,22874.44
8716,388502.99,388502.99
8734,471203.42,471203.42
8755,153359.44,153359.44
8771,80907.78,80907.78
8777,446294.67,446294.67
8785,343505.11,343505.11
8789,398904.02,398904.02
8807,367406.0,367406.0
8817,104143.84,104143.84
8826,14797.68,14797.68
8833,310351.4,310351.4
8846,287011.81,287011.81
8984,62695.27,62695.27
9002,432808.56,432808.56
9009,77875.47,77875.47
9023,432391.49,432391.49
9033,217995.45,217995.45
9044,82366.24,82366.24
9065,450315.68,450315.68
9097,440675.51,440675.51
9106,838594.0,419297.0
9128,122428.35,122428.35
9145,274996.18,274996.18
9155,364588.66,364588.66
9205,464989.06,464989.06
9206,207239.64,207239.64
9263,80724.38,80724.38
9271,236491.6,236491.6
9285,141992.64,141992.64
9347,242041.19,242041.19
9363,494373.99,494373.99
9379,4043.6,4043.6
9384,458864.55,458864.55
9410,215841.54,215841.54
9463,66616.73,66616.73
9464,182433.82,182433.82
9469,493362.26,493362.26
9488,334963.46,334963.46
9523,19047.04,19047.04
9526,154248.33,154248.33
9527,493395.15,493395.15
