account_id,client_id,account_type,balance,last_transaction_date
61919,2205,Saving,19400.16,2024-09-23
18447,83826,Checking,55813.27,2024-04-17
45318,5987,Saving,36549.17,2024-12-04
42211,24208,Saving,58542.3,2024-04-20
58333,3033,Checking,21093.58,2024-01-15
28741,40175,Saving,21974.71,2024-10-13
42081,15065,Saving,94256.48,2024-05-10
96762,74756,Saving,66053.31,2024-02-10
59591,60127,Checking,71086.24,2024-12-15
26041,47933,Saving,48191.69,2024-09-25
81334,15929,Saving,7248.87,2024-01-10
21212,33708,Saving,12693.57,2024-12-13
43595,18870,Checking,3984.43,2024-03-01
99233,72993,Saving,80046.42,2024-08-09
48886,66858,Checking,25844.74,2024-10-16
51595,93592,Checking,21644.51,2024-12-08
41714,6709,Saving,88338.68,2024-03-12
55561,22073,Saving,76333.1,2024-12-09
17633,58475,Checking,8401.37,2024-10-31
41064,8619,Saving,70976.81,2024-08-27
43187,93114,Checking,46655.65,2024-02-03
41961,58415,Saving,88168.85,2024-12-16
26748,52963,Saving,41945.24,2024-01-23
64467,58096,Saving,41827.93,2024-03-22
71755,36071,Saving,97624.59,2024-10-05
14754,41865,Checking,43790.87,2024-01-09
24453,33725,Saving,89066.45,2024-05-10
74234,17512,Saving,75256.78,2024-03-24
40232,58392,Saving,22755.11,2024-06-30
44765,96549,Saving,22016.6,2024-09-16
43087,77742,Checking,36257.95,2024-07-18
49678,44278,Checking,45263.35,2024-02-05
31767,70928,Checking,76727.07,2024-12-01
71073,21512,Saving,83386.5,2024-02-20
27482,92987,Checking,97628.45,2024-11-19
92974,84635,Saving,36657.15,2024-02-01
34972,9947,Saving,34925.46,2024-04-16
78007,68518,Checking,2420.83,2024-11-17
30956,43906,Saving,-494.02,2024-11-05
99079,5645,Checking,78562.22,2024-10-30
29320,90469,Saving,19582.66,2024-07-01
50309,13770,Saving,71367.45,2024-08-20
35125,89671,Saving,45184.22,2024-06-11
48491,44948,Checking,70528.49,2024-09-04
10962,66139,Saving,32447.99,2024-01-12
58497,69816,Saving,82530.18,2024-11-08
96663,62291,Saving,88644.57,2024-08-20
66783,97285,Checking,46524.05,2024-06-17
28191,35573,Checking,51102.31,2024-04-28
88231,1022,Checking,98868.99,2024-04-05
51956,25786,Checking,1715.31,2024-02-11
73133,30038,Saving,7007.78,2024-11-11
62921,65090,Saving,92443.87,2024-06-18
86631,22105,Checking,47568.1,2024-03-27
21796,30070,Saving,62892.11,2024-04-17
60343,22534,Saving,59961.35,2024-03-04
88970,30657,Checking,17628.62,2024-06-09
90190,75749,Saving,61139.21,2024-03-15
85669,37274,Saving,2128.6,2024-12-15
96844,40744,Checking,89021.46,2024-07-17
59197,2909,Checking,1717.09,2024-10-22
42707,48448,Checking,66102.14,2024-01-21
93137,33338,Checking,1696.58,2024-04-30
38113,88575,Saving,93585.63,2024-04-25
50412,90326,Saving,47574.34,2024-04-16
40385,86848,Saving,56427.55,2024-07-22
14338,20630,Saving,25305.65,2024-09-11
88549,42402,Checking,45962.43,2024-03-14
76583,29671,Saving,3074.33,2024-04-08
27640,55137,Saving,56865.31,2024-08-13
60821,4925,Saving,64958.39,2024-05-06
17374,55162,Checking,1401.7,2024-04-09
27234,38003,Checking,31277.67,2024-05-19
31414,72549,Saving,79468.83,2024-09-06
29912,31891,Saving,52641.38,2024-11-08
76490,2783,Saving,54494.04,2024-08-22
46565,7291,Saving,86455.7,2024-08-14
10278,44193,Checking,4064.25,2024-06-19
56208,41846,Saving,48221.42,2024-09-05
34397,62030,Checking,37722.17,2024-03-10
57681,93123,Checking,52486.25,2024-04-26
15360,61136,Checking,75019.27,2024-11-16
86605,7659,Checking,4980.15,2024-11-30
21977,38334,Saving,81689.53,2024-07-01
21333,79916,Checking,86271.27,2024-10-11
52330,19787,Checking,63972.93,2024-09-07
87695,50023,Saving,4831.57,2024-10-09
66240,47877,Checking,92295.11,2024-03-26
65077,29502,Checking,31968.1,2024-04-24
95076,80252,Saving,41621.49,2024-09-13
22165,10755,Saving,96602.32,2024-07-13
99696,51414,Checking,42173.76,2024-02-09
29892,12869,Saving,17999.9,2024-01-25
82858,36819,Checking,16429.73,2024-10-07
58686,62588,Saving,82920.65,2024-02-14
67896,90072,Checking,70910.26,2024-05-12
87025,95600,Checking,62017.7,2024-07-22
35982,42421,Saving,56054.21,2024-03-15
58615,89721,Checking,51729.08,2024-01-02
35360,21910,Checking,35981.87,2024-04-25
79756,76632,Saving,71123.24,2024-01-05
81038,17652,Saving,60768.5,2024-12-13
69918,98267,Checking,88698.54,2024-09-01
82027,2813,Checking,1978.91,2024-03-01
27215,14852,Saving,20241.26,2024-05-23
46632,33100,Checking,88781.1,2024-10-22
38393,14139,Saving,10222.73,2024-07-11
34260,85717,Saving,56486.25,2024-01-22
44520,16478,Saving,59568.2,2024-05-12
55244,56613,Saving,28022.4,2024-06-29
43339,67171,Saving,34360.39,2024-08-22
62101,21601,Checking,20925.69,2024-07-28
42537,88946,Saving,19927.72,2024-09-15
87665,60193,Checking,92373.84,2024-10-14
92411,85975,Checking,54716.55,2024-06-18
74957,53104,Saving,71011.5,2024-10-27
74814,93465,Checking,60113.55,2024-11-25
91752,22194,Saving,26042.89,2024-01-04
82851,90244,Saving,55153.16,2024-09-19
14906,38812,Saving,5150.8,2024-06-16
50378,53913,Checking,35250.34,2024-11-29
11284,62646,Checking,9996.91,2024-06-06
87448,36658,Saving,54732.13,2024-01-09
66911,77867,Saving,39158.45,2024-06-03
20908,88837,Saving,64982.93,2024-09-03
11050,11462,Checking,63916.16,2024-03-01
45994,46611,Checking,31129.78,2024-10-03
36517,16547,Saving,76386.55,2024-12-12
88007,64379,Checking,77788.97,2024-10-17
55569,3832,Saving,33567.78,2024-03-12
20638,75915,Saving,36268.39,2024-05-29
99451,74237,Saving,67939.32,2024-09-05
53251,82656,Saving,32420.42,2024-07-17
87728,18186,Saving,86615.33,2024-02-08
56721,18570,Saving,97355.22,2024-05-13
63128,54294,Checking,81736.79,2024-10-22
87173,77950,Saving,10917.31,2024-01-24
25610,15086,Saving,97478.74,2024-10-21
65789,85529,Saving,55875.22,2024-08-10
88341,66713,Checking,7155.81,2024-01-10
91152,16729,Checking,90083.96,2024-06-29
