client_id,service,rating
33061,Prêt,2
88262,Compte Épargne,1
64411,Prêt,4
33053,Compte Épargne,4
95071,Service Client,4
54114,Service Client,4
42677,Carte Bancaire,1
62621,Service Client,4
41348,Service Client,3
87679,Carte Bancaire,3
94736,Service Client,3
21287,Carte Bancaire,1
84489,Prêt,1
63208,Carte Bancaire,3
72986,Service Client,2
15835,Prêt,5
87905,Service Client,3
73770,Service Client,1
55029,Prêt,5
74646,Carte Bancaire,5
44059,Compte Épargne,4
70597,Prêt,4
49402,Compte Épargne,1
58379,Service Client,4
6657,Service Client,5
55144,Carte Bancaire,3
27132,Carte Bancaire,1
90401,Carte Bancaire,1
70130,Service Client,4
52114,Carte Bancaire,5
23399,Service Client,1
26162,Carte Bancaire,4
91703,Compte Épargne,5
63786,Prêt,1
66565,Service Client,1
65580,Carte Bancaire,4
87563,Compte Épargne,4
73381,Carte Bancaire,2
82189,Service Client,3
89833,Service Client,5
84733,Service Client,3
41464,Prêt,2
30814,Prêt,4
57172,Service Client,3
82859,Prêt,2
27538,Compte Épargne,1
51206,Compte Épargne,4
15901,Prêt,2
26208,Prêt,1
73771,Compte Épargne,1
27862,Compte Épargne,1
34095,Compte Épargne,3
52737,Service Client,5
5578,Carte Bancaire,4
19543,Service Client,4
18541,Service Client,4
3916,Service Client,4
46458,Compte Épargne,2
10815,Service Client,5
33242,Prêt,4
60944,Compte Épargne,5
98984,Service Client,3
98083,Service Client,2
60713,Carte Bancaire,1
16920,Compte Épargne,4
95825,Service Client,5
47462,Service Client,5
73380,Prêt,1
13052,Service Client,1
95946,Compte Épargne,4
17259,Service Client,5
51404,Carte Bancaire,2
35865,Prêt,1
96402,Compte Épargne,3
56088,Compte Épargne,2
52753,Carte Bancaire,4
7184,Carte Bancaire,5
44547,Prêt,3
14864,Prêt,4
12062,Prêt,5
56859,Carte Bancaire,3
53645,Service Client,1
40216,Compte Épargne,3
95434,Service Client,2
19043,Compte Épargne,1
15559,Carte Bancaire,5
62093,Service Client,5
84842,Prêt,3
21375,Prêt,2
70539,Carte Bancaire,3
2819,Carte Bancaire,2
84832,Prêt,2
4585,Compte Épargne,5
48591,Compte Épargne,2
84147,Carte Bancaire,5
82202,Service Client,4
13957,Compte Épargne,3
74081,Compte Épargne,5
8699,Prêt,1
58425,Service Client,4
57063,Carte Bancaire,3
97608,Compte Épargne,1
40867,Carte Bancaire,5
63603,Prêt,2
32791,Service Client,2
22262,Compte Épargne,5
95150,Carte Bancaire,1
38566,Prêt,3
40021,Compte Épargne,3
22738,Compte Épargne,5
33918,Compte Épargne,3
81959,Compte Épargne,3
56375,Service Client,4
62561,Compte Épargne,3
80923,Carte Bancaire,5
3827,Prêt,4
99583,Prêt,2
16946,Service Client,5
33390,Carte Bancaire,5
83756,Carte Bancaire,1
30478,Prêt,2
22236,Compte Épargne,3
77678,Carte Bancaire,4
76073,Compte Épargne,4
46447,Service Client,2
96784,Compte Épargne,1
52407,Service Client,2
64026,Carte Bancaire,4
42193,Prêt,2
75518,Compte Épargne,5
85383,Compte Épargne,4
70585,Compte Épargne,4
16860,Compte Épargne,2
19710,Service Client,1
74657,Carte Bancaire,4
49012,Service Client,2
13075,Carte Bancaire,4
95842,Carte Bancaire,4
11222,Prêt,1
22938,Prêt,4
2639,Prêt,4
27169,Compte Épargne,1
2971,Carte Bancaire,4
84242,Service Client,1
79866,Carte Bancaire,5
59246,Carte Bancaire,5
96087,Compte Épargne,5
2838,Service Client,1
37056,Prêt,4
33552,Service Client,3
52853,Service Client,5
84441,Service Client,3
34917,Prêt,3
46275,Compte Épargne,2
82657,Prêt,1
40625,Prêt,3
87484,Carte Bancaire,1
66965,Service Client,3
30824,Service Client,4
2798,Carte Bancaire,3
37690,Service Client,4
59573,Carte Bancaire,3
65544,Compte Épargne,3
88166,Service Client,1
31194,Service Client,1
91040,Carte Bancaire,3
30479,Carte Bancaire,2
13612,Prêt,3
77864,Compte Épargne,4
59948,Service Client,4
45861,Carte Bancaire,2
5187,Compte Épargne,1
22930,Service Client,4
80885,Carte Bancaire,5
25928,Compte Épargne,4
67461,Prêt,3
27689,Carte Bancaire,5
54239,Prêt,4
12102,Prêt,4
60222,Compte Épargne,2
41837,Service Client,2
14680,Compte Épargne,4
5646,Carte Bancaire,5
55152,Service Client,1
28008,Prêt,4
36294,Compte Épargne,3
47986,Prêt,4
97942,Prêt,2
10300,Compte Épargne,1
26058,Service Client,2
3950,Carte Bancaire,5
78512,Service Client,5
10674,Compte Épargne,1
31310,Prêt,4
2910,Prêt,4
33050,Prêt,5
36421,Carte Bancaire,4
92671,Prêt,1
59908,Prêt,4
7259,Prêt,5
42476,Service Client,2
32080,Carte Bancaire,4
67591,Service Client,1
86270,Carte Bancaire,5
16463,Compte Épargne,5
18479,Carte Bancaire,4
50807,Prêt,5
55378,Compte Épargne,2
88059,Carte Bancaire,1
45770,Carte Bancaire,4
84040,Compte Épargne,4
43925,Compte Épargne,4
19201,Prêt,2
5131,Prêt,4
67046,Carte Bancaire,3
67617,Carte Bancaire,2
10407,Carte Bancaire,5
39805,Compte Épargne,5
27473,Service Client,3
59484,Carte Bancaire,4
56021,Compte Épargne,4
22934,Service Client,4
5194,Prêt,5
66416,Carte Bancaire,5
19450,Prêt,4
44600,Prêt,1
