loan_id,client_id,loan_amount,interest_rate,term_months,start_date,loan_status,loan_interest_category
cb2a04fb-96f5-4b11-9220-d438f44e4bd7,93005,91037.92,8.38,24,2024-12-02,Large,High
8edc49a6-8f47-44c9-a7b3-c60a18a58f99,48305,473186.11,6.93,12,2021-07-26,Large,High
944d5d49-956f-4f89-a6d3-a5b82337d643,82644,68057.66,4.8,60,2021-11-14,Large,Low
50b88a1f-e142-4848-86cc-4cbaf1767f63,34105,70454.44,6.52,60,2024-06-28,Large,High
7eb1c637-4a75-4765-9369-316e4ef8fad1,5660,89353.24,9.76,60,2021-01-15,Large,High
787a07ac-9ec9-4a19-a323-df0ad2e19737,29659,91384.34,9.51,12,2023-04-05,Large,High
e0d86ea5-3e3a-4261-b7cc-f91cffe09416,60904,82783.57,3.97,24,2022-08-01,Large,Low
5b5e3255-adce-4435-82f6-9d637799b624,2948,221433.33,8.13,60,2021-05-07,Large,High
50fb0bca-2647-4254-8f60-a7b4947a20fa,69562,165524.66,5.22,60,2023-10-30,Large,High
a4c92ec1-d268-404f-936b-bce56bcd166c,85420,236439.63,5.39,60,2022-08-04,Large,High
7671060e-c7a5-4ae4-b62a-1c2b5486986f,27316,348195.62,6.21,36,2023-11-04,Large,High
0f728ea4-8dfe-4908-8dd9-6241ac300e92,41061,92120.01,7.17,60,2023-07-03,Large,High
9d7c8840-d997-4fb8-bd75-27deb6ba684e,89942,347031.62,1.7,24,2024-12-16,Large,Low
67dc0868-f0cd-449f-addb-574ad8277cb9,58694,166122.08,3.58,24,2024-07-06,Large,Low
bbcc5ff6-64cb-4f44-9960-6577def1c16f,1582,254045.48,9.94,48,2020-09-03,Large,High
cd72c375-4b02-4de8-8e77-e0f5d76fa8c6,48155,398372.38,1.93,36,2020-07-27,Large,Low
9b351eb8-7d59-4ab9-92aa-31455f8f0882,33376,321122.13,4.73,24,2021-08-06,Large,Low
5b129bc2-941f-4052-85f3-b54a56615624,33061,75091.64,9.36,24,2023-02-19,Large,High
5204227b-ee33-477f-9465-a8087cb03dfd,21321,379751.6,2.0,24,2022-12-22,Large,Low
70041735-9be8-48fb-b840-1ca87e894b06,15375,99650.1,9.97,60,2023-08-12,Large,High
6110d658-2e84-4a49-aa9b-4b6a772e8721,44633,275913.02,3.0,12,2020-05-14,Large,Low
ca540b0a-ee91-4316-8e43-48c04bee3399,38147,208565.07,4.64,24,2023-11-19,Large,Low
f00a36ef-d0ab-4bc4-985c-2c2758a1324d,29819,259548.96,6.26,36,2022-04-14,Large,High
76437218-5e60-4a97-b427-0bb1f43fdf06,88295,150703.67,4.77,60,2020-12-12,Large,Low
ca2b44f5-7c74-4d9c-b6dc-7134efb4c95a,71797,349968.43,5.36,48,2022-07-20,Large,High
debbc80a-df14-49c6-9fa2-4a58e4ed3f2b,66690,133342.32,9.31,48,2021-05-17,Large,High
