client_id,date,service,rating,comment
33061,2024-02-04,Prêt,2,Decade talk image their material.
88262,2024-08-21,Compte Épargne,1,Against although option.
64411,2024-06-02,Prêt,4,This goal second figure health.
33053,2024-10-12,Compte Épargne,4,If three action soldier institution through everybody wrong.
95071,2024-02-20,Service Client,4,Size body ask professor story forward.
54114,2024-05-06,Service Client,4,Father mouth career indicate worker author however herself.
42677,2024-05-29,Carte Bancaire,1,Edge environment each.
62621,2024-05-24,Service Client,4,Statement without exist cut marriage school often mind.
41348,2024-05-19,Service Client,3,Cell six rather bit tend maybe.
87679,2024-09-27,Carte Bancaire,3,Whole card feeling ten.
94736,2024-06-24,Service Client,3,Item report capital.
21287,2024-01-29,Carte Bancaire,1,Film born professor mean traditional yeah democratic.
84489,2024-11-29,Prêt,1,Guess add your threat daughter financial.
63208,2024-06-29,Carte Bancaire,3,Work wall something young table much pass.
72986,2024-10-11,Service Client,2,Card program focus raise history Democrat mind without.
15835,2024-01-02,Prêt,5,Rate their anyone entire suddenly fine day away.
87905,2024-05-18,Service Client,3,Still public feeling executive.
73770,2024-02-22,Service Client,1,Right trip system including.
55029,2024-02-23,Prêt,5,Million research civil wall player quite.
74646,2024-09-20,Carte Bancaire,5,Form note south property sea onto sense above.
44059,2024-09-10,Compte Épargne,4,Wear something stock spend fine.
70597,2024-09-05,Prêt,4,Baby official reflect.
49402,2024-02-27,Compte Épargne,1,Chance staff family environmental.
58379,2024-10-16,Service Client,4,Bill sell entire against science.
6657,2024-11-20,Service Client,5,Camera no success money city key message consumer.
55144,2024-10-06,Carte Bancaire,3,Item least buy product traditional artist eight.
27132,2024-08-25,Carte Bancaire,1,Dog material with three direction cell thus loss.
90401,2024-04-23,Carte Bancaire,1,Instead hot actually take.
70130,2024-09-02,Service Client,4,Sense without discover population heart join leave.
52114,2024-05-03,Carte Bancaire,5,Property baby they again environmental.
23399,2024-03-30,Service Client,1,Black start point whose star increase.
26162,2024-09-07,Carte Bancaire,4,Move lose get article.
91703,2024-09-18,Compte Épargne,5,Both finish will.
63786,2024-05-05,Prêt,1,Rather want environmental successful run.
66565,2024-11-25,Service Client,1,Concern end wear travel.
65580,2024-02-26,Carte Bancaire,4,Billion the feeling ask whose quality risk agency.
87563,2024-04-29,Compte Épargne,4,Have development trouble mean grow customer.
73381,2024-08-09,Carte Bancaire,2,Pull nor respond without amount remain box.
82189,2024-01-08,Service Client,3,Century American responsibility part hot.
89833,2024-11-29,Service Client,5,Writer goal cold measure others.
84733,2024-07-12,Service Client,3,Glass could benefit today book two allow.
41464,2024-03-30,Prêt,2,Fact area while price interesting assume.
30814,2024-07-19,Prêt,4,Too sense commercial music third.
57172,2024-09-14,Service Client,3,Management parent staff the.
82859,2024-01-11,Prêt,2,Either with buy television.
27538,2024-01-30,Compte Épargne,1,Sure eight physical possible police.
51206,2024-02-04,Compte Épargne,4,Industry really country describe.
15901,2024-11-06,Prêt,2,Nice forward capital director owner.
26208,2024-10-19,Prêt,1,Size still garden usually total do.
73771,2024-03-31,Compte Épargne,1,Produce hour rate whole question look himself.
27862,2024-02-10,Compte Épargne,1,Toward structure word pretty.
34095,2024-07-21,Compte Épargne,3,Fight them task organization item report worker.
52737,2024-04-28,Service Client,5,Break season budget own eat traditional.
5578,2024-08-09,Carte Bancaire,4,Quickly body build blood wrong here.
19543,2024-06-05,Service Client,4,Simply interview claim maintain next.
18541,2024-11-01,Service Client,4,Change reason their leg personal take.
3916,2024-01-30,Service Client,4,Rate court open food.
46458,2024-08-06,Compte Épargne,2,Happy here father.
10815,2024-04-04,Service Client,5,Color drive teacher may though ability everyone fire.
33242,2024-12-11,Prêt,4,Better suffer really.
60944,2024-06-04,Compte Épargne,5,Order traditional save development half.
98984,2024-09-15,Service Client,3,Stage research Mr note population indeed.
98083,2024-11-19,Service Client,2,Human Mrs character them morning.
60713,2024-05-30,Carte Bancaire,1,Door course energy available.
16920,2024-10-03,Compte Épargne,4,Professor stuff majority send.
95825,2024-06-03,Service Client,5,Argue physical floor employee night throughout reach move.
47462,2024-03-09,Service Client,5,Keep well weight beat.
73380,2024-04-12,Prêt,1,Artist last court prevent senior.
13052,2024-04-26,Service Client,1,Always onto serious prepare find behavior deep.
95946,2024-03-11,Compte Épargne,4,Can common fact.
17259,2024-01-27,Service Client,5,Mission role lead I old from remember.
51404,2024-09-17,Carte Bancaire,2,Writer politics personal address.
35865,2024-01-14,Prêt,1,Vote computer prevent treat administration price though.
96402,2024-04-15,Compte Épargne,3,Hope case morning these serve.
