transaction_id,client_id,date,amount,transaction_type,merchant,location,fraud_flag
e1c3d548-a4da-4bb7-a6e4-7344d47c41eb,8178,2024-06-03 03:59:45,2500.6,Debit,"Wallace, Nelson and Fernandez",East Kristin,0
95d393f5-a9fc-49e3-88b0-5a72977bc5fd,7555,2024-04-10 12:16:16,-3617.33,Debit,"Mitchell, Reed and Austin",New Catherine,0
cc085d45-979f-4432-a75d-9c4b363360ed,3945,2024-08-07 18:42:06,4037.6,Debit,"Martin, Romero and Roberts",South Suzanneland,0
225aade3-bdb2-4e9f-bf4c-390840bceb25,6880,2024-04-27 06:31:35,1153.34,Credit,Willis LLC,North Desiree,0
719614f7-76aa-4f66-a034-1bb87977b046,6227,2024-06-11 06:46:45,1770.33,Debit,Haley-Lopez,Lake Katherinefurt,0
4e1d4852-8c2b-43e9-8f45-7d578bee35f3,9644,2024-01-09 00:45:41,442.83,Debit,"Buck, Curtis and Li",Michellefurt,0
f24d2bb9-bbc8-4758-adb7-5b9200d9bce8,6549,2024-03-06 02:22:25,2387.35,Debit,Wade Ltd,Lake Colleenmouth,0
edd718f1-b831-4388-9a32-56cc0aab18d2,7023,2024-04-23 20:43:29,4179.51,Credit,Smith Group,Lake Melissa,0
f48bf715-2e5a-4dcb-be12-a1f9d17586d7,7958,2024-02-19 00:11:23,-1465.18,Credit,Cooper-Powers,Dannyville,0
6e56abc6-7bae-48a7-b175-c945ddfa1843,8266,2024-09-26 17:39:46,-2034.12,Debit,Hayes-Atkins,North Amy,0
ee1e8c59-4f8f-4cee-a421-3c13a6b8b508,3679,2024-08-20 10:25:42,-4.13,Credit,Long-Nguyen,West Melissaville,0
1d0e0e6c-59a5-458e-9ea8-c3b2092506ff,5926,2024-05-24 12:12:31,4309.62,Debit,James-Jackson,Brianview,0
aeeb333b-ac2c-40a6-9bd5-f4a3835666c4,6743,2024-09-09 23:44:04,-1452.4,Debit,"Shaw, Delgado and Tucker",Bowersmouth,0
4aa4ad80-78df-4134-9ec5-c43c4cf4c5ef,1643,2024-01-18 23:25:34,239.12,Debit,Taylor LLC,Russellside,0
16ebaad3-3448-4e3b-93a3-befa29a417d8,8820,2024-03-29 23:51:04,-3147.49,Debit,Hernandez-Ramirez,Lake Jeremy,0
32becf23-7696-4bd2-93e5-cb2e31c60aac,6528,2024-06-07 17:41:50,-2226.15,Debit,Boyd-Salazar,Port Eric,0
032b42ec-ee37-4504-8f72-99bb857931aa,8637,2024-11-18 04:17:59,-3784.4,Debit,"Rodriguez, Bauer and Jacobs",South John,0
9c190513-8600-427e-8b75-6e1e04fdd3ec,8457,2024-03-01 01:11:56,4966.92,Debit,Berry Inc,Brewerview,0
e379350a-7184-4866-bcf8-c924e6a11753,6410,2024-01-09 23:58:39,2002.27,Credit,Boyd-Barron,Benjaminton,0
7755716e-9784-4d99-bf8f-049905012f64,4265,2024-01-10 18:24:09,-3705.58,Credit,Ford and Sons,Wendyfurt,0
ee7ddd8f-5d08-41dc-9b05-77753a4d4acc,2871,2024-05-18 22:19:05,-465.39,Credit,Jackson PLC,Laurashire,0
10941e54-70e4-4c1f-9cd2-51727f3c92ba,4836,2024-09-03 08:00:32,3423.89,Credit,Johnson-Greene,East Elizabeth,0
b0e229c0-88bc-4f75-8da8-bff87a0b539a,1676,2024-03-10 08:44:26,-1444.3,Credit,Bean-Goodwin,North Jennifer,0
44a1ac3d-3c31-448f-b8f2-11b4e3bed6a8,5471,2024-07-21 00:14:42,-1547.78,Credit,"Scott, Reeves and Brown",North Cassandrabury,0
a2e1542a-c753-453a-a5f2-dcaced498cd6,8610,2024-06-30 05:53:16,3707.55,Debit,"Kane, Jennings and Decker",Jeffersonton,0
4f5475ca-a594-4508-93c7-fe29ead879cf,5693,2024-04-30 22:17:11,1830.98,Credit,"Aguirre, Turner and Rodriguez",Delgadoborough,1
c43d56df-79f1-4b2a-8622-a82031c4be42,6539,2024-07-22 20:01:01,-4276.31,Debit,Ramos-Hoffman,Robertbury,0
bde48ef2-2f68-4228-acc7-a9208c9bb40e,7338,2024-09-12 03:51:33,733.12,Credit,Cruz-Williams,South Mariaberg,0
03ff22ce-0d1d-4cf7-9470-0488f3eb4fc4,3941,2024-11-02 08:58:42,-3148.45,Debit,"Bradford, Wilson and Walker",Tinafurt,0
f064f4b9-c2ef-471e-872a-4f19a5ea482a,4883,2024-07-17 13:57:10,-3176.86,Debit,"Ramirez, Henry and Johnson",Lake Ellen,0
9a7147a8-83bc-47b9-a543-0eb49bc85903,4185,2024-06-13 03:33:47,2968.57,Credit,Oneal-Ball,Frederickhaven,0
10bf6787-79c1-4a18-b749-b02efc71509f,2291,2024-03-06 22:08:08,17.79,Credit,Evans-Baker,Grahamchester,0
93247745-0be4-4037-b1d7-3ea46937cdcf,5966,2024-07-14 00:36:41,4738.09,Credit,Parker PLC,Jonesville,0
bf205f5a-def2-4133-939e-4b2bcaaaee2e,8489,2024-03-09 09:16:28,-3752.48,Credit,Weber and Sons,Cassandraside,0
b86cc4fb-3966-426d-a162-122b33522da6,9963,2024-03-20 16:27:47,-3892.47,Credit,"Nguyen, Daniel and Brown",Thompsonport,0
dadb2f53-d340-4c2a-9ca0-7cf6c056c42f,2691,2024-04-08 07:45:40,711.01,Debit,"Wiggins, Jones and Brady",Kimberlyshire,0
2488fb4a-4d9b-42bb-aef7-6df52d43ffc9,6250,2024-01-18 11:14:49,-2498.92,Credit,Henderson PLC,Port Kathleenfort,0
e4895b29-4359-4265-9630-cafbf5e6f02f,5705,2024-04-01 18:00:55,4284.3,Credit,"Osborne, Jenkins and Thomas",Mollyport,0
3e974b00-ae97-4344-85a0-0c49cf406f3d,6055,2024-07-03 21:54:33,4959.07,Debit,"Williams, Johnson and Perez",Greenhaven,0
08220929-22e4-4754-a530-b851d618e4ff,3436,2024-07-23 16:26:03,-3451.33,Credit,Roberts LLC,Lake Kristi,0
0cf44b82-8a84-42b1-af9a-b2834ed9c7f5,6949,2024-09-23 17:57:08,-797.12,Credit,Wright-Huber,Williamsport,0
6ed659cf-1a1f-4763-a7cc-fafca7fb6402,1634,2024-02-01 09:55:47,-3172.38,Credit,Sanders and Sons,Lisaview,1
b09ab04b-47b7-45a4-92cc-5ea7465aa3c6,9294,2024-11-15 04:20:42,-3100.04,Debit,Bowman-Alvarez,Christinaton,0
c4f85b0d-7b21-48df-b908-a9e577866c01,8611,2024-01-08 15:41:36,4303.58,Credit,Hernandez-Summers,Samanthaborough,0
0876cd2e-7e8f-4254-887d-803cc20e6d21,2017,2024-09-08 09:41:37,-1999.64,Debit,Long-Shannon,West Thomasland,0
68367447-0310-4ed5-993f-fed1379d721a,5070,2024-08-03 01:01:17,212.43,Credit,"Gibbs, Anderson and Lin",Wilkersonton,0
a5fac58d-26da-446b-b43f-16987af95101,9283,2024-06-13 21:39:51,2311.89,Credit,Martinez-Lawrence,Craigview,0
713a98b4-e5c0-4af5-af63-8aabaae7a7bf,7829,2024-03-01 20:05:04,-3955.7,Credit,"Fischer, Brown and Rodgers",South Peggy,0
811574af-d249-4ce7-b939-b4846635c760,5415,2024-02-21 04:27:56,4736.37,Credit,Valentine Ltd,Fischerland,0
339dd5be-0a92-48ab-bc24-44f562728a93,4503,2024-01-27 05:42:31,-2787.48,Credit,Cuevas and Sons,West Melanie,0
