account_id,client_id,account_type,balance
61919,2205,Saving,19400.16
18447,83826,Checking,55813.27
45318,5987,Saving,36549.17
42211,24208,Saving,58542.3
58333,3033,Checking,21093.58
28741,40175,Saving,21974.71
42081,15065,Saving,94256.48
96762,74756,Saving,66053.31
59591,60127,Checking,71086.24
26041,47933,Saving,48191.69
81334,15929,Saving,7248.87
21212,33708,Saving,12693.57
43595,18870,Checking,3984.43
99233,72993,Saving,80046.42
48886,66858,Checking,25844.74
51595,93592,Checking,21644.51
41714,6709,Saving,88338.68
55561,22073,Saving,76333.1
17633,58475,Checking,8401.37
41064,8619,Saving,70976.81
43187,93114,Checking,46655.65
41961,58415,Saving,88168.85
26748,52963,Saving,41945.24
64467,58096,Saving,41827.93
71755,36071,Saving,97624.59
14754,41865,Checking,43790.87
24453,33725,Saving,89066.45
74234,17512,Saving,75256.78
40232,58392,Saving,22755.11
44765,96549,Saving,22016.6
43087,77742,Checking,36257.95
49678,44278,Checking,45263.35
31767,70928,Checking,76727.07
71073,21512,Saving,83386.5
27482,92987,Checking,97628.45
92974,84635,Saving,36657.15
34972,9947,Saving,34925.46
78007,68518,Checking,2420.83
30956,43906,Saving,-494.02
99079,5645,Checking,78562.22
29320,90469,Saving,19582.66
50309,13770,Saving,71367.45
35125,89671,Saving,45184.22
48491,44948,Checking,70528.49
10962,66139,Saving,32447.99
58497,69816,Saving,82530.18
96663,62291,Saving,88644.57
66783,97285,Checking,46524.05
28191,35573,Checking,51102.31
88231,1022,Checking,98868.99
51956,25786,Checking,1715.31
73133,30038,Saving,7007.78
62921,65090,Saving,92443.87
86631,22105,Checking,47568.1
21796,30070,Saving,62892.11
60343,22534,Saving,59961.35
88970,30657,Checking,17628.62
90190,75749,Saving,61139.21
85669,37274,Saving,2128.6
96844,40744,Checking,89021.46
59197,2909,Checking,1717.09
42707,48448,Checking,66102.14
93137,33338,Checking,1696.58
38113,88575,Saving,93585.63
50412,90326,Saving,47574.34
40385,86848,Saving,56427.55
14338,20630,Saving,25305.65
88549,42402,Checking,45962.43
76583,29671,Saving,3074.33
27640,55137,Saving,56865.31
60821,4925,Saving,64958.39
17374,55162,Checking,1401.7
27234,38003,Checking,31277.67
31414,72549,Saving,79468.83
29912,31891,Saving,52641.38
76490,2783,Saving,54494.04
46565,7291,Saving,86455.7
10278,44193,Checking,4064.25
56208,41846,Saving,48221.42
34397,62030,Checking,37722.17
57681,93123,Checking,52486.25
15360,61136,Checking,75019.27
86605,7659,Checking,4980.15
21977,38334,Saving,81689.53
21333,79916,Checking,86271.27
52330,19787,Checking,63972.93
87695,50023,Saving,4831.57
66240,47877,Checking,92295.11
65077,29502,Checking,31968.1
95076,80252,Saving,41621.49
22165,10755,Saving,96602.32
99696,51414,Checking,42173.76
29892,12869,Saving,17999.9
82858,36819,Checking,16429.73
58686,62588,Saving,82920.65
67896,90072,Checking,70910.26
87025,95600,Checking,62017.7
35982,42421,Saving,56054.21
58615,89721,Checking,51729.08
35360,21910,Checking,35981.87
79756,76632,Saving,71123.24
81038,17652,Saving,60768.5
69918,98267,Checking,88698.54
82027,2813,Checking,1978.91
27215,14852,Saving,20241.26
46632,33100,Checking,88781.1
38393,14139,Saving,10222.73
34260,85717,Saving,56486.25
44520,16478,Saving,59568.2
55244,56613,Saving,28022.4
43339,67171,Saving,34360.39
62101,21601,Checking,20925.69
42537,88946,Saving,19927.72
87665,60193,Checking,92373.84
92411,85975,Checking,54716.55
74957,53104,Saving,71011.5
74814,93465,Checking,60113.55
91752,22194,Saving,26042.89
82851,90244,Saving,55153.16
14906,38812,Saving,5150.8
50378,53913,Checking,35250.34
11284,62646,Checking,9996.91
87448,36658,Saving,54732.13
66911,77867,Saving,39158.45
20908,88837,Saving,64982.93
11050,11462,Checking,63916.16
45994,46611,Checking,31129.78
36517,16547,Saving,76386.55
88007,64379,Checking,77788.97
55569,3832,Saving,33567.78
20638,75915,Saving,36268.39
99451,74237,Saving,67939.32
53251,82656,Saving,32420.42
87728,18186,Saving,86615.33
56721,18570,Saving,97355.22
63128,54294,Checking,81736.79
87173,77950,Saving,10917.31
25610,15086,Saving,97478.74
65789,85529,Saving,55875.22
88341,66713,Checking,7155.81
91152,16729,Checking,90083.96
66756,16115,Checking,94971.74
57880,71368,Checking,96763.6
64007,20449,Checking,89429.4
49775,54890,Checking,81377.44
68670,2281,Saving,77920.04
29649,2762,Saving,7617.51
56316,45232,Saving,61790.76
85472,20429,Checking,51038.8
52676,88352,Checking,64387.33
64072,10361,Saving,21584.45
38102,93503,Saving,82597.65
30837,77077,Checking,20327.73
52398,61322,Saving,4263.85
23465,41136,Saving,4834.78
50627,70804,Checking,42040.0
57559,46992,Checking,57008.73
52021,33367,Saving,83537.39
13406,79411,Saving,56234.27
39346,54273,Checking,74998.96
73687,61562,Checking,7626.79
28507,76424,Saving,3468.44
94687,63442,Checking,63326.55
31713,98826,Checking,70085.95
35693,77101,Checking,-936.94
94816,67872,Checking,82297.8
94779,47335,Saving,53849.51
35186,69481,Checking,603.37
37668,75892,Checking,30846.55
17156,92106,Checking,66146.85
73412,7776,Checking,31097.61
29458,61506,Saving,49040.53
40326,94971,Saving,18613.18
42292,2357,Saving,62931.06
26251,93546,Checking,77135.31
33740,58275,Checking,91014.47
33224,95452,Checking,79601.07
75199,8248,Saving,79588.49
52403,17461,Saving,94600.97
49745,64820,Checking,9034.75
70252,60827,Saving,44760.4
73306,26215,Checking,68784.62
99570,38121,Checking,36792.81
70658,90306,Saving,14318.9
86807,8138,Saving,14834.4
43979,81142,Saving,19837.1
60184,87565,Saving,79784.75
91475,72999,Checking,23850.71
39310,3162,Checking,7596.6
24296,72534,Saving,49125.57
52590,75226,Saving,3785.34
51066,38961,Checking,84256.15
81429,68750,Checking,21916.16
68394,87354,Checking,-29.54
28981,35007,Checking,33869.08
64094,28983,Saving,65385.09
33088,33792,Saving,50282.29
81422,90308,Checking,28651.01
62791,90735,Saving,27560.73
12877,53832,Checking,52629.68
52658,24603,Saving,7295.6
21112,17185,Checking,36663.74
16122,79574,Checking,69413.08
51602,11899,Checking,23487.24
37668,8152,Checking,26812.91
87382,4879,Checking,60404.06
75869,16769,Saving,39262.23
85145,68456,Saving,55490.67
80672,95087,Checking,15511.27
54633,52725,Saving,33461.5
24001,62775,Saving,41621.5
89907,38741,Checking,49297.48
82444,81018,Saving,89614.94
45472,20669,Checking,-296.1
32215,16956,Saving,36402.26
67947,21942,Checking,2018.58
74187,82196,Saving,11738.1
42129,38074,Checking,26937.3
21681,96563,Saving,95657.98
62812,15915,Checking,7459.51
18084,83045,Checking,3529.09
14456,47110,Saving,27075.02
52933,22973,Checking,41429.34
20249,20253,Saving,62767.23
16030,43630,Saving,51250.83
22116,18293,Saving,70512.16
25673,74739,Saving,18884.64
11232,32846,Saving,77894.88
71428,18407,Checking,2390.58
81594,81882,Checking,24167.52
21898,89664,Saving,68364.85
11517,13264,Checking,88337.52
42692,7614,Saving,92430.82
15623,98322,Checking,20951.54
13240,16423,Checking,87062.12
59568,30602,Checking,86326.4
79693,96938,Saving,49477.82
99235,90242,Checking,89222.31
94148,4855,Checking,11854.58
92563,50518,Saving,5888.84
33513,43658,Saving,73813.43
61631,70746,Saving,47770.81
14571,60542,Checking,61085.35
31549,14704,Checking,37486.22
47540,11184,Checking,78159.76
34500,17301,Saving,76936.93
72566,76843,Checking,84978.16
86612,38956,Saving,4186.97
32754,98795,Checking,68719.9
18226,95041,Checking,61783.98
96281,14688,Saving,34751.68
12598,69971,Saving,-594.04
27800,68694,Checking,78139.81
41238,16791,Saving,66918.75
28888,50158,Saving,62485.97
84955,93850,Checking,43757.6
64611,5122,Checking,96630.82
46366,12050,Saving,74623.3
78024,73912,Checking,10842.02
78416,83071,Checking,3586.96
81331,23380,Checking,19249.87
45397,22363,Saving,1293.49
26774,50094,Saving,60853.5
13165,74575,Checking,51500.47
78712,18946,Checking,24652.41
76753,16555,Saving,70393.13
53133,62046,Checking,37107.74
68435,8443,Checking,12697.78
34254,14972,Saving,76550.73
28708,5146,Checking,43580.79
63010,40172,Saving,17603.16
36264,99381,Checking,98358.39
98235,44199,Checking,11003.4
43286,87285,Checking,62740.93
13874,7632,Saving,40130.85
68624,20972,Checking,84517.4
82447,89041,Saving,31718.4
67273,66556,Saving,26145.14
54259,78135,Checking,22271.53
32931,37084,Saving,13597.75
14183,78705,Checking,58043.38
19025,26518,Checking,35144.45
33319,51444,Checking,64094.45
80230,79645,Saving,12698.98
42224,80728,Checking,71998.85
49446,88485,Saving,48139.83
37723,31962,Saving,17563.74
34219,96568,Checking,2057.54
15472,13361,Saving,14607.88
23658,39653,Saving,83090.05
97356,98393,Checking,13194.81
99803,21573,Saving,61544.64
40095,55260,Saving,37068.94
34965,21541,Checking,68709.4
61424,48296,Checking,86233.86
16897,54002,Saving,86545.89
59716,56681,Saving,43927.47
63472,31363,Saving,41893.28
90601,21740,Saving,68836.33
74569,3266,Saving,40820.88
82589,57582,Saving,98565.43
36569,83418,Checking,88220.49
37734,83642,Checking,37621.86
71142,54098,Checking,8104.03
16360,80752,Saving,75207.34
28783,75026,Saving,9408.79
89759,36409,Checking,56738.38
35168,25753,Saving,39471.22
80103,79485,Saving,32185.85
19843,7335,Checking,11466.55
82431,6168,Checking,46868.41
34113,36666,Checking,72196.86
71155,25618,Checking,13656.17
66413,89687,Checking,41147.82
66806,55300,Checking,85088.4
77919,23982,Saving,97526.74
44883,66036,Checking,11674.66
15103,3019,Saving,52136.14
33492,61488,Checking,62387.18
98617,5670,Saving,19775.95
65923,23724,Checking,8845.66
28089,63406,Checking,23987.97
63814,84333,Saving,94946.68
85011,30687,Saving,15247.04
76039,41819,Saving,65459.27
83909,23957,Saving,77516.22
56677,12783,Checking,43341.48
29291,10219,Saving,93903.54
64009,29751,Checking,20653.32
24854,63897,Saving,87292.19
62006,28719,Saving,21287.23
93869,35440,Checking,33366.0
70365,10764,Checking,13312.0
77778,43917,Checking,27322.94
23068,8885,Saving,11260.02
70113,57437,Checking,49163.86
64511,72789,Checking,9514.83
87624,57056,Checking,38763.58
76103,48302,Checking,66516.27
